游戏名,历史在线峰值,steam商店链接
绝地求生,"3,236,027",https://store.steampowered.com/app/578080
刀塔2,"1,291,328",https://store.steampowered.com/app/570
反恐精英：全球攻势,"1,100,539",https://store.steampowered.com/app/730
辐射4,"471,955",https://store.steampowered.com/app/377160
谍血街头,"408,008",https://store.steampowered.com/app/232770
GTA5,"360,761",https://store.steampowered.com/app/271590
杀手2,"356,867",https://store.steampowered.com/app/863550
凯茜瑞恩的冒险,"336,132",https://store.steampowered.com/app/370910
怪物猎人：世界,"329,333",https://store.steampowered.com/app/582010
命运2,"291,718",https://store.steampowered.com/app/1085660
乌拉尔山,"275,043",https://store.steampowered.com/app/343710
收获日2,"247,628",https://store.steampowered.com/app/218620
Envoy 2,"228,080",https://store.steampowered.com/app/448940
荣耀战魂,"216,499",https://store.steampowered.com/app/304390
骑士传奇,"216,331",https://store.steampowered.com/app/285800
基因变种,"213,183",https://store.steampowered.com/app/308600
无人深空,"212,321",https://store.steampowered.com/app/275850
刀塔霸业,"200,421",https://store.steampowered.com/app/1046930
彩虹六号：围攻,"198,567",https://store.steampowered.com/app/359550
全面战争：三国,"191,816",https://store.steampowered.com/app/779340
足球经理2020,"189,179",https://store.steampowered.com/app/1100600
叔叔的传说,"189,049",https://store.steampowered.com/app/278360
Hyperdrive Massacre,"180,471",https://store.steampowered.com/app/402390
小小星球大碰撞,"163,735",https://store.steampowered.com/app/96000
扣押：豪华版,"162,795",https://store.steampowered.com/app/395170
文明6,"162,314",https://store.steampowered.com/app/289070
英雄连2,"161,908",https://store.steampowered.com/app/231430
求生之路2,"161,590",https://store.steampowered.com/app/550
泰拉瑞亚,"158,947",https://store.steampowered.com/app/105600
方舟：生存进化,"157,355",https://store.steampowered.com/app/346110
奥威尔：注视着你,"150,575",https://store.steampowered.com/app/491950
杀戮之王,"150,179",https://store.steampowered.com/app/433850
破坏协议：在线都市RPG,"145,618",https://store.steampowered.com/app/696370
夺命追击,"144,294",https://store.steampowered.com/app/638070
层层恐惧,"143,872",https://store.steampowered.com/app/391720
十字军之王2,"140,269",https://store.steampowered.com/app/203770
筑堡,"135,587",https://store.steampowered.com/app/334210
幽浮2,"132,677",https://store.steampowered.com/app/268500
流放之路,"131,862",https://store.steampowered.com/app/238960
星际战甲,"131,766",https://store.steampowered.com/app/230410
黑暗之魂3,"129,831",https://store.steampowered.com/app/374320
黑客网络,"127,640",https://store.steampowered.com/app/365450
破坏领主,"127,322",https://store.steampowered.com/app/424370
只狼：影逝二度,"124,334",https://store.steampowered.com/app/814380
无主之地2,"123,596",https://store.steampowered.com/app/49520
光环：士官长合集,"121,985",https://store.steampowered.com/app/976730
叛乱,"121,264",https://store.steampowered.com/app/222880
Prismata,"121,154",https://store.steampowered.com/app/490220
火箭联盟,"118,948",https://store.steampowered.com/app/252950
全面战争：罗马2帝王版,"118,240",https://store.steampowered.com/app/214950
军团要塞2,"117,917",https://store.steampowered.com/app/440
裂境之主,"115,993",https://store.steampowered.com/app/232050
全境封锁,"113,877",https://store.steampowered.com/app/365590
战锤：全面战争,"111,909",https://store.steampowered.com/app/364360
DOOM Eternal,"104,598",https://store.steampowered.com/app/782330
皇家领地,"104,557",https://store.steampowered.com/app/813820
巫师3：狂猎,"103,171",https://store.steampowered.com/app/292030
伊卡罗斯之炮OL,"102,258",https://store.steampowered.com/app/209080
腐蚀,"102,177",https://store.steampowered.com/app/252490
演化,"100,638",https://store.steampowered.com/app/510840
天国：拯救,"95,863",https://store.steampowered.com/app/379430
无主之地3,"93,484",https://store.steampowered.com/app/397540
神界：原罪2,"93,350",https://store.steampowered.com/app/435150
太阳帝国的原罪：反叛,"91,159",https://store.steampowered.com/app/204880
文明5,"91,020",https://store.steampowered.com/app/8930
合金装备5：幻痛,"90,952",https://store.steampowered.com/app/287700
上古卷轴5：天际,"90,780",https://store.steampowered.com/app/72850
孤岛惊魂5,"89,574",https://store.steampowered.com/app/552520
古墓丽影,"89,142",https://store.steampowered.com/app/203160
鬼泣5,"88,735",https://store.steampowered.com/app/601150
星界边境,"88,355",https://store.steampowered.com/app/211820
文明：太空,"86,747",https://store.steampowered.com/app/65980
一级方程式赛车 2015,"83,968",https://store.steampowered.com/app/286570
隐形守护者,"82,173",https://store.steampowered.com/app/998940
红色至日,"81,972",https://store.steampowered.com/app/265590
黑暗之魂2,"79,528",https://store.steampowered.com/app/236430
传说：命运之路,"78,966",https://store.steampowered.com/app/439190
足球经理2019,"75,981",https://store.steampowered.com/app/872790
黎明杀机,"75,044",https://store.steampowered.com/app/381210
生化危机2 重制版,"74,024",https://store.steampowered.com/app/883710
盖瑞模组,"73,750",https://store.steampowered.com/app/4000
战锤：末世鼠疫2,"73,203",https://store.steampowered.com/app/552500
Football Manager 2017,"72,608",https://store.steampowered.com/app/482730
太吾绘卷,"72,196",https://store.steampowered.com/app/838350
全面战争：战锤2,"72,112",https://store.steampowered.com/app/594570
足球经理2018,"71,279",https://store.steampowered.com/app/624090
幽浮：未知敌人,"70,560",https://store.steampowered.com/app/200510
狙击精英V2,"70,123",https://store.steampowered.com/app/63380
上古卷轴5：天际特别版,"69,777",https://store.steampowered.com/app/489830
以撒的结合：重生,"69,673",https://store.steampowered.com/app/250900
杀戮空间2,"69,246",https://store.steampowered.com/app/232090
群星,"68,517",https://store.steampowered.com/app/281990
人渣,"68,031",https://store.steampowered.com/app/513710
中土世界：战争之影,"67,943",https://store.steampowered.com/app/356190
无主之地：前传,"67,244",https://store.steampowered.com/app/261640
饥荒联机版,"66,829",https://store.steampowered.com/app/322330
又一个僵尸塔防,"65,806",https://store.steampowered.com/app/270550
点击英雄,"65,560",https://store.steampowered.com/app/363970
生化奇兵：无限,"65,198",https://store.steampowered.com/app/8870
反恐精英,"65,188",https://store.steampowered.com/app/10
星露谷物语,"64,256",https://store.steampowered.com/app/413150
王国,"63,740",https://store.steampowered.com/app/368230
使命召唤：黑色行动3,"63,681",https://store.steampowered.com/app/311210
无限法则,"63,435",https://store.steampowered.com/app/755790
未转变者,"62,450",https://store.steampowered.com/app/304930
表层指挥,"62,137",https://store.steampowered.com/app/209670
刺客信条：奥德赛,"61,984",https://store.steampowered.com/app/812140
恐怖黎明,"61,093",https://store.steampowered.com/app/219990
Paladins,"60,566",https://store.steampowered.com/app/444090
侏罗纪世界：进化,"60,296",https://store.steampowered.com/app/648350
雷霆一击,"60,204",https://store.steampowered.com/app/629760
战争爆发：感染进化,"60,137",https://store.steampowered.com/app/444690
黑色沙漠Online,"59,917",https://store.steampowered.com/app/582660
模拟农场19,"59,234",https://store.steampowered.com/app/787860
阿特拉斯,"58,788",https://store.steampowered.com/app/834910
宝藏世界,"58,709",https://store.steampowered.com/app/304050
城市天际线,"57,421",https://store.steampowered.com/app/255710
武装突袭3,"56,185",https://store.steampowered.com/app/107410
荒野大镖客2,"55,269",https://store.steampowered.com/app/1174180
雨中冒险2,"54,085",https://store.steampowered.com/app/632360
火炬之光2,"54,010",https://store.steampowered.com/app/200710
无尽空间2,"53,435",https://store.steampowered.com/app/392110
流放者柯南,"53,402",https://store.steampowered.com/app/440900
Tree of Savior (English Ver.),"53,277",https://store.steampowered.com/app/372000
杀出重围：人类分裂,"52,051",https://store.steampowered.com/app/337000
杀手,"51,689",https://store.steampowered.com/app/236870
恶灵进化,"51,099",https://store.steampowered.com/app/273350
深海迷航,"50,876",https://store.steampowered.com/app/264710
收获日：掠夺,"49,734",https://store.steampowered.com/app/24240
中土世界：暗影魔多,"48,518",https://store.steampowered.com/app/241930
反恐精英：起源,"48,458",https://store.steampowered.com/app/240
遗迹：灰烬重生,"47,998",https://store.steampowered.com/app/617290
欧洲卡车模拟2,"47,951",https://store.steampowered.com/app/227300
看门狗,"47,820",https://store.steampowered.com/app/243470
黑手党3,"47,409",https://store.steampowered.com/app/360430
钢铁雄心4,"46,806",https://store.steampowered.com/app/394360
Artifact,"46,456",https://store.steampowered.com/app/583950
星球大战 绝地：陨落的武士团,"46,445",https://store.steampowered.com/app/1172380
消逝的光芒,"45,770",https://store.steampowered.com/app/239140
幽灵行动：荒野,"45,663",https://store.steampowered.com/app/460930
DayZ僵尸末日,"45,398",https://store.steampowered.com/app/221100
奇异世界：阿比逃亡记,"45,049",https://store.steampowered.com/app/15700
战争仪式,"44,850",https://store.steampowered.com/app/504370
龙珠斗士Z,"44,234",https://store.steampowered.com/app/678950
节奏光剑VR,"43,189",https://store.steampowered.com/app/620980
辐射避难所,"42,390",https://store.steampowered.com/app/588430
黑道圣徒4,"42,076",https://store.steampowered.com/app/206420
环世界,"41,637",https://store.steampowered.com/app/294100
最终幻想14,"41,190",https://store.steampowered.com/app/39210
Turbo Pug DX,"40,590",https://store.steampowered.com/app/513780
H1Z1,"40,254",https://store.steampowered.com/app/295110
人类一败涂地,"40,234",https://store.steampowered.com/app/477160
Temtem,"39,355",https://store.steampowered.com/app/745920
动物园之星,"38,630",https://store.steampowered.com/app/703080
摩纳哥：你的就是我的,"38,410",https://store.steampowered.com/app/113020
古墓丽影：暗影,"37,979",https://store.steampowered.com/app/750920
Wallpaper Engine,"37,173",https://store.steampowered.com/app/431960
七日杀,"36,822",https://store.steampowered.com/app/251570
刺客信条：起源,"36,075",https://store.steampowered.com/app/582160
AX:EL,"35,782",https://store.steampowered.com/app/319830
魔方世界,"35,613",https://store.steampowered.com/app/1128000
暴战机甲兵,"35,586",https://store.steampowered.com/app/637090
战争雷霆,"35,377",https://store.steampowered.com/app/236390
NBA 2K20,"34,971",https://store.steampowered.com/app/1089350
南方公园：真理之杖,"34,645",https://store.steampowered.com/app/213670
AI女仆,"34,469",https://store.steampowered.com/app/834150
黑道圣徒3,"34,254",https://store.steampowered.com/app/55230
双点医院,"34,014",https://store.steampowered.com/app/535930
Ori and the Will of the Wisps,"33,878",https://store.steampowered.com/app/1057090
噬血代码,"33,576",https://store.steampowered.com/app/678960
疯狂的麦克斯,"33,356",https://store.steampowered.com/app/234140
杀戮尖塔,"32,937",https://store.steampowered.com/app/646570
骑马与砍杀：战团,"32,799",https://store.steampowered.com/app/48700
中国式家长,"32,527",https://store.steampowered.com/app/736190
上古卷轴Online,"32,498",https://store.steampowered.com/app/306130
World of Tanks Blitz,"32,120",https://store.steampowered.com/app/444200
模拟农场17,"31,961",https://store.steampowered.com/app/447020
毁灭战士,"31,623",https://store.steampowered.com/app/379720
帝国时代2：终极版 ,"31,051",https://store.steampowered.com/app/813780
格斗哈拉,"30,971",https://store.steampowered.com/app/291550
格林,"30,886",https://store.steampowered.com/app/252150
辐射：新维加斯,"30,309",https://store.steampowered.com/app/22380
无尽空间,"30,194",https://store.steampowered.com/app/208140
永恒之柱,"30,122",https://store.steampowered.com/app/291650
欧陆风云4,"30,045",https://store.steampowered.com/app/236850
梦游逃生,"29,661",https://store.steampowered.com/app/308040
行星边际2,"29,449",https://store.steampowered.com/app/218230
全面吃鸡模拟器,"29,438",https://store.steampowered.com/app/823130
Loadout,"29,424",https://store.steampowered.com/app/208090
最终幻想15,"29,279",https://store.steampowered.com/app/637650
冰汽时代,"29,195",https://store.steampowered.com/app/323190
NBA 2K19,"29,141",https://store.steampowered.com/app/841370
玻璃舞会,"29,022",https://store.steampowered.com/app/511470
森林,"28,061",https://store.steampowered.com/app/242760
古墓丽影：崛起,"27,945",https://store.steampowered.com/app/391220
帝国时代2 高清版,"27,881",https://store.steampowered.com/app/221380
VRChat,"27,754",https://store.steampowered.com/app/438100
地狱边境,"27,454",https://store.steampowered.com/app/48000
缺氧,"27,408",https://store.steampowered.com/app/457140
真人快打11,"27,301",https://store.steampowered.com/app/976310
龙之信条：黑暗觉者,"27,259",https://store.steampowered.com/app/367500
Deadly Animal Duel,"27,215",https://store.steampowered.com/app/587790
Purgatory II,"26,934",https://store.steampowered.com/app/576120
巨人约顿,"26,654",https://store.steampowered.com/app/323580
积木坦克,"26,598",https://store.steampowered.com/app/301520
暗物质,"26,596",https://store.steampowered.com/app/251410
战争前线捍卫者：维斯特布拉德半岛,"26,486",https://store.steampowered.com/app/412210
阿提拉：全面战争,"26,237",https://store.steampowered.com/app/325610
桌游模拟,"26,165",https://store.steampowered.com/app/286160
杀手：赦免,"26,039",https://store.steampowered.com/app/203140
Last Oasis,"26,022",https://store.steampowered.com/app/903950
DRAGON BALL Z: KAKAROT,"25,689",https://store.steampowered.com/app/851850
蝙蝠侠：阿卡姆骑士,"25,623",https://store.steampowered.com/app/208650
战锤40K：战争黎明3,"25,587",https://store.steampowered.com/app/285190
超级房车赛：起点2,"25,574",https://store.steampowered.com/app/44350
NBA 2K18,"25,432",https://store.steampowered.com/app/577800
神之浩劫,"25,376",https://store.steampowered.com/app/386360
纪元1800,"25,214",https://store.steampowered.com/app/916440
Drift (Over) Drive,"25,192",https://store.steampowered.com/app/447920
骑士：中世纪战争,"25,145",https://store.steampowered.com/app/219640
TERA,"25,112",https://store.steampowered.com/app/323370
蝙蝠侠：阿卡姆起源,"24,938",https://store.steampowered.com/app/209000
影子武士,"24,792",https://store.steampowered.com/app/233130
战锤：末世鼠疫,"24,594",https://store.steampowered.com/app/235540
掠食,"24,594",https://store.steampowered.com/app/480490
放逐之城,"24,568",https://store.steampowered.com/app/242920
Knight Online,"24,542",https://store.steampowered.com/app/389430
黑暗之魂：重置版,"24,505",https://store.steampowered.com/app/570940
暗影狂奔：归来,"24,242",https://store.steampowered.com/app/234650
狂热运输2,"24,102",https://store.steampowered.com/app/1066780
Shadowverse,"23,929",https://store.steampowered.com/app/453480
太空工程师,"23,867",https://store.steampowered.com/app/244850
尼尔：机械纪元,"23,813",https://store.steampowered.com/app/524220
人类黎明,"23,738",https://store.steampowered.com/app/858810
脑袋捕手,"23,554",https://store.steampowered.com/app/797410
正当防卫3,"23,459",https://store.steampowered.com/app/225540
无主之地,"23,443",https://store.steampowered.com/app/8980
孤岛惊魂3,"23,042",https://store.steampowered.com/app/220240
火星生存,"23,021",https://store.steampowered.com/app/464920
无尽的资本,"22,927",https://store.steampowered.com/app/346900
Elex,"22,871",https://store.steampowered.com/app/411300
龙珠超,"22,782",https://store.steampowered.com/app/323470
永恒之柱2：死亡之火,"22,639",https://store.steampowered.com/app/560130
全面战争传奇：不列颠的王座,"22,600",https://store.steampowered.com/app/712100
Half-Life: Alyx,"22,589",https://store.steampowered.com/app/546560
开拓者：拥王者,"22,536",https://store.steampowered.com/app/640820
异星工厂,"22,317",https://store.steampowered.com/app/427520
亿万僵尸,"22,295",https://store.steampowered.com/app/644930
无主之地年度版,"22,271",https://store.steampowered.com/app/729040
羞辱2,"22,269",https://store.steampowered.com/app/403640
神界：原罪,"21,953",https://store.steampowered.com/app/230230
过山车之星,"21,828",https://store.steampowered.com/app/493340
刀剑神域：夺命凶弹,"21,727",https://store.steampowered.com/app/626690
南方公园：完整破碎,"21,483",https://store.steampowered.com/app/488790
杀戮空间,"21,151",https://store.steampowered.com/app/1250
POLYWAR,"21,068",https://store.steampowered.com/app/444490
部落与弯刀,"21,038",https://store.steampowered.com/app/1094520
实况足球：2020,"20,964",https://store.steampowered.com/app/996470
英雄与将军,"20,882",https://store.steampowered.com/app/227940
深岩银河,"20,083",https://store.steampowered.com/app/548430
羞辱,"19,930",https://store.steampowered.com/app/205100
双子星座2,"19,908",https://store.steampowered.com/app/236150
战舰世界,"19,891",https://store.steampowered.com/app/552990
使命召唤14：二战,"19,374",https://store.steampowered.com/app/476600
暗黑地牢,"19,285",https://store.steampowered.com/app/262060
美国卡车模拟,"19,138",https://store.steampowered.com/app/270880
State of Decay 2,"19,098",https://store.steampowered.com/app/495420
坎巴拉太空计划,"19,079",https://store.steampowered.com/app/220200
茶杯头,"19,076",https://store.steampowered.com/app/268910
武装突袭2：箭头行动,"18,996",https://store.steampowered.com/app/33930
赦免者,"18,921",https://store.steampowered.com/app/473690
木筏,"18,889",https://store.steampowered.com/app/648800
迈阿密热线2：空号,"18,882",https://store.steampowered.com/app/274170
超越光速,"18,821",https://store.steampowered.com/app/212680
铁拳7,"18,766",https://store.steampowered.com/app/389730
地牢守护者2,"18,744",https://store.steampowered.com/app/236110
模拟农场15,"18,658",https://store.steampowered.com/app/313160
废土2,"18,576",https://store.steampowered.com/app/240760
奇迹时代3,"18,477",https://store.steampowered.com/app/226840
行尸走肉：第二季,"18,433",https://store.steampowered.com/app/261030
奇异人生,"18,260",https://store.steampowered.com/app/319630
数据黑客：腐败,"18,247",https://store.steampowered.com/app/329000
神偷,"18,239",https://store.steampowered.com/app/239160
生化危机7,"18,211",https://store.steampowered.com/app/418370
使命召唤：黑色行动2,"18,202",https://store.steampowered.com/app/202970
了不起的修仙模拟器,"18,169",https://store.steampowered.com/app/955900
精英：危机四伏,"18,039",https://store.steampowered.com/app/359320
音乐竞速,"18,003",https://store.steampowered.com/app/893030
猎人：野性的呼唤,"17,965",https://store.steampowered.com/app/518790
异星探险家,"17,891",https://store.steampowered.com/app/361420
家园：高清重制版合集,"17,778",https://store.steampowered.com/app/244160
瘟疫公司：物竞天择,"17,771",https://store.steampowered.com/app/246620
反恐精英VR,"17,527",https://store.steampowered.com/app/555160
看火人,"17,521",https://store.steampowered.com/app/383870
雷神之锤：冠军,"17,332",https://store.steampowered.com/app/611500
#Have A Sticker,"17,173",https://store.steampowered.com/app/841860
速跑者,"17,131",https://store.steampowered.com/app/207140
守墓人,"16,973",https://store.steampowered.com/app/599140
孤岛惊魂4,"16,946",https://store.steampowered.com/app/298110
Riders of Icarus,"16,814",https://store.steampowered.com/app/442080
The God's Chain,"16,656",https://store.steampowered.com/app/504490
看门狗2,"16,644",https://store.steampowered.com/app/447040
饥荒,"16,556",https://store.steampowered.com/app/219740
黑暗逃生,"16,503",https://store.steampowered.com/app/466240
Space Pilgrim Episode I: Alpha Centauri,"16,412",https://store.steampowered.com/app/429470
军团1944,"16,341",https://store.steampowered.com/app/489940
红色管弦乐队2：斯大林格勒英雄 风起云涌,"16,311",https://store.steampowered.com/app/35450
Ace of Spades: Battle Builder,"16,306",https://store.steampowered.com/app/224540
