发行商,平均在线玩家数
PUBG Corporation,3236027.0
Bungie ,291718.0
Ben Johnson (bencelot),213183.0
Warner Bros Interactive Entertainment,192084.0
Cylinder Studios,145618.0
Digital Extremes,131766.0
WOLCEN Studio,127322.0
Activision (Excluding Japan and Asia),124334.0
Lunarch Studios,121154.0
HyperReuts,100638.0
Valve,96676.0
Warhorse Studios,95863.0
Starbreeze Publishing AB,83051.0
New One Studio,82173.0
Studio Wildcard,80642.0
Re-Logic,80400.0
FromSoftware,77168.0
ConchShip Games,72196.0
Hello Games,70915.0
Clapfoot,70200.0
Gamepires,68031.0
New World Interactive,65239.0
ConcernedApe,64256.0
TCH Scarlet Limited,63435.0
Smartly Dressed Games,62450.0
Crate Entertainment,61093.0
Triternion,60204.0
Grapeshot Games,58788.0
Jesse Makkonen,54350.0
Hi-Rez Studios,44366.0
Tortuga Team,43383.0
Beat Games,43189.0
Ludeon Studios,41637.0
Behaviour Digital Inc.,40416.0
IMGN.PRO,39413.0
Daybreak Game Company,38970.0
Frontier Developments ,38630.0
CAPCOM Co.,38295.0
Wallpaper Engine Team,37173.0
The Fun Pimps Entertainment LLC,36822.0
Picroma,35613.0
Kurenaibook,34469.0
Facepunch Studios,34102.0
Mega Crit Games,32937.0
Rockstar Games,31918.0
Budget Friendly Entertainment,31006.0
Spicyhorse Games,30886.0
Blazing Griffin,28934.0
Endnight Games Ltd,28061.0
VRChat Inc.,27754.0
Raw Fury,27322.0
2K,26962.0
Flying Robot Studios,26486.0
CD PROJEKT RED,26450.0
Spearhead Games,26427.0
Bethesda Softworks,26370.0
Berserk Games,26165.0
Donkey Crew,26022.0
IO Interactive A/S,25960.0
Torn Banner Studios,25145.0
Playsaurus,25057.0
Shining Rock Software LLC,24568.0
NTTGame,24542.0
Snowbird Games,23396.0
Wube Software LTD.,22317.0
WB Games,22215.0
Trion Worlds,21325.0
Larian Studios,21116.0
汉家松鼠Han-Squirrel Studio,21038.0
Muse Games,20882.0
RETO MOTO,20882.0
Data Realms,20849.0
Fellow Traveller,20436.0
Frontier Developments,20054.0
Wargaming Group Limited,19891.0
Runic Games,19401.0
Red Hook Studios,19285.0
Private Division ,19079.0
Studio MDHR Entertainment Inc.,19076.0
Stunlock Studios,18447.0
System Era Softworks,17891.0
Vankrupt Games,17527.0
Panic,17521.0
Subset Games,16697.0
Awesome Games Studio,16508.0
Baseline,16503.0
Aspyr,16250.0
NS STUDIO,15766.0
Trendy Entertainment,15606.0
Playdead,15604.0
Deep Silver ,15375.0
Madruga Works,15202.0
Onyx Lute,14958.0
Klei Entertainment,14421.0
Hinterland Studio Inc.,14390.0
Game Grumps,14336.0
Perfect World Entertainment,14286.0
Fatshark,14253.0
Wizards of the Coast,14003.0
Thunder Lotus Games,13673.0
Gaijin Entertainment,13588.0
Unknown Worlds Entertainment,13585.0
Thorngames,13507.0
SCS Software,13491.0
Pocketwatch Games,13462.0
NewRealityGames,13382.0
Sandbox Interactive GmbH,13312.0
Bankroll Studios,13291.0
SEGA,13012.0
Warchest Ltd.,12963.0
Chucklefish,12743.0
Gearbox Publishing,12046.0
TaleWorlds Entertainment,11971.0
1047 Games,11901.0
Rebuilt Games,11890.0
Bethesda-Soft,11808.0
Axolot Games,11345.0
Spiderling Studios,11120.0
Nether Productions,10930.0
The Behemoth,10895.0
Playful Corp.,10880.0
Lever Games,10869.0
Frozen District,10851.0
TopWare Interactive ACE,10816.0
SGTTB_Studios,10732.0
Denis Galanin (mif2000),10710.0
Lo-Fi Games,10579.0
tobyfox,10462.0
Motion Twin,10344.0
Expansive Worlds,10320.0
Tripwire Interactive,10307.0
Bedtime Digital Games,10189.0
WarpFrog,10096.0
Team Cherry,10029.0
Ahmchaws Entertainment ,9808.0
Ubisoft,9769.0
Paradox Interactive,9679.0
RobTop Games,9614.0
Xbox Game Studios,9491.0
KOG,9477.0
Playa Games GmbH,9469.0
Reactive Drop Team,9335.0
Topware Interactive ACE,9320.0
Define Human Studios,9277.0
Freejam,9149.0
AbstractArt,9102.0
DarkShot Studios,8972.0
yfyx games,8897.0
Luo Zhi En,8895.0
Red Barrels,8825.0
Landfall,8733.0
CRASS Infotech,8528.0
Nkidu Games Inc.,8510.0
Fifth Dimension Company,8508.0
Techland Publishing,8483.0
Gaijin Distribution KFT,8466.0
Gun Media,8092.0
ZA/UM,8072.0
Giants Software,8008.0
Housemarque,7996.0
Robot Entertainment,7960.0
Numantian Games,7862.0
Oddworld Inhabitants,7829.0
Booming Games,7828.0
Microblast Games,7818.0
Kunos Simulazioni,7813.0
Russian Fishing,7750.0
Greenheart Games,7558.0
Monochrome,7498.0
