发行商,平均在线玩家数
株式会社バンダイナムコエンターテインメント,10277.0
北京网元圣唐娱乐科技有限公司,3702.0
3909,3629.0
深圳市爱玩游戏科技有限公司,3206.0
拾遗社,2968.0
甲山林娛樂股份有限公司,2257.0
香港商河洛互動娛樂股份有限公司,1852.0
艺龙游戏,1600.0
托更的修罗,1510.0
,1404.0
其他,1367.0
 ,1049.0
游学者狐狸,768.0
东方幕华祭制作组,619.0
英雄互娱,603.0
中三之家,420.0
掌烛文化,340.0
疯王子中二集团总部,328.0
哈视奇科技,293.0
盛世传奇,285.0
完美世界,263.0
狼皮羊工作室,211.0
冷笑黑妖,199.0
蘇州大禹網絡科技有限公司,197.0
上海唯二网络科技,156.0
致意,153.0
30/30,146.0
Носков Сергей,143.0
КиКо,136.0
梵天游戏,132.0
真龙主宰,129.0
四块二茶会,119.0
清之鸣,115.0
心火游戏,114.0
杭州分浪网络科技有限公司,110.0
边境游戏工作室,104.0
雷武游戏,103.0
赤瞳大白猫,95.0
ИЛЬЯМАЗО,85.0
深圳墨麟科技股份有限公司,85.0
東方幕華祭制作组,83.0
灰烬天国,78.0
拇指游玩,76.0
迷糊的安安,72.0
窗外紫藤制作组,72.0
微信公众号：萌石,70.0
西安新秀时代科技有限公司,70.0
重庆环游者网络科技,67.0
上海班图网络科技有限公司,66.0
七彩绘色游戏,58.0
喵鼎工作室,58.0
绮梦妄想社,57.0
第一點心,55.0
兔子放映,52.0
绝汪,52.0
馆叔,50.0
二色幽紫蝶,47.0
盛世遮天之真龙主宰,47.0
オートリ電子,46.0
上海刃贤网络科技有限公司,43.0
123工作室,42.0
阿达游戏,42.0
明枭网络,38.0
百恩互娱,37.0
小闲,37.0
北京凌宇智控科技有限公司,36.0
轻文,33.0
离忧先生,30.0
深圳中青宝互动网络股份有限公司,29.0
橙光游戏,27.0
深圳市中顺和盈科技有限公司,26.0
肥羊,26.0
吃了就睡工作室,25.0
業餘遊戲公社,24.0
咕咕工作室,24.0
中闻影视,24.0
成都数艺互动科技有限公司,24.0
蝴蝶互动信息技术有限公司,21.0
一杯烟雨游戏工作室,20.0
大沃电艺,20.0
麟湾工作室,19.0
いくちおすてご,19.0
幻想工房,17.0
上海薇染网络科技有限公司,17.0
无,17.0
-,16.0
冰狮游戏,16.0
杭州千狼科技有限公司,16.0
大きくて強い,15.0
热血战歌,15.0
陌上科技,15.0
上海信虎文化传播有限公司,15.0
忆夏之铃制作组,15.0
边玩边学网络科技有限公司,14.0
朵游社,14.0
战神七魄,14.0
 Ｌｅｍｏｎ　Ｂａｌｍ,13.0
豆干叠叠木,11.0
西安曼云网络科技有限公司,11.0
无限仙侠,11.0
凌望工作室,11.0
凝冰剑斩,11.0
西安乐趣软件科技有限公司,11.0
电钮组,10.0
弦语蝶梦,10.0
灭神游戏,10.0
酷呐网络科技,9.0
重庆聚心动科技有限责任公司,9.0
人工くらげ,9.0
真实模拟站,8.0
多拉拉游戏工作室,8.0
北京趣酷科技有限公司,8.0
拉貢拉斯找金粒,8.0
樱,8.0
夕,7.0
北京魔视互动科技有限公司,7.0
渺云星,7.0
獨立遊戲,7.0
个人制作,7.0
六界游戏,6.0
英特衛多媒體股份有限公司,6.0
祥,6.0
时光咖啡机,6.0
株式会社テレビ朝日メディアプレックス,6.0
艾斯貝洛,6.0
魔域永恒,6.0
赤月传说2,6.0
废材炼金术士,6.0
4188,6.0
浙江盛游,6.0
万物之间工作室,6.0
よるのあとち,5.0
三国梦之队,5.0
折翼的红领巾,5.0
Ольга,5.0
酷呐科技,5.0
小金宝贝,5.0
万族游戏,5.0
青灯独酌,5.0
十一游戏,5.0
 КиКо,5.0
上海游七网络科技有限公司,5.0
世纪龙信息网络有限责任公司,5.0
白信鸽工作室,5.0
橘喵喵,5.0
乐客游戏,5.0
派嘉数创科技有限公司,5.0
拿手好戏,4.0
许志修,4.0
威震天科技,4.0
乐吧工作室,4.0
頂点α,4.0
幻想理戈游戏开发工作室,4.0
乐吧娱乐,4.0
乌鸦大仙,4.0
深圳市云宙多媒体,4.0
绿叶工作室,4.0
こーひーあーる,4.0
神仙名单,4.0
莉莉姆の圣水,4.0
视趣互动,3.0
流一心娱乐游戏集团总部,3.0
魔力乐章,3.0
アスガル騎士団,3.0
重庆焱玩网络科技有限公司,3.0
静茹鱼,3.0
折凳工作室,3.0
武儒小生,3.0
49肆酒,3.0
理想乡开拓者,3.0
泥亾,3.0
幻爵工作室,3.0
张公子,3.0
隼龙队长,1.0
玩美游戏,1.0
0,1.0
重庆第五维科技有限公司,1.0
遊戲人,1.0
迷茫的菜鸟,1.0
个人,1.0
火云战神,1.0
深圳市微我科技有限公司,1.0
十弦曲觞,1.0
华夏动漫,1.0
麦克儿,1.0
