类型,平均在线玩家数
刷宝射击游戏,88186.0
寻宝,72934.0
中世纪,54772.0
合作,42857.0
重玩价值,40984.0
回合战略,40822.0
生存,38947.0
开放世界,35393.0
大战略,35051.0
选择取向,30521.0
蒸汽朋克,26670.0
英雄射击,26517.0
大师级,25815.0
篮球,24908.0
类魂系列,24750.0
犯罪,23788.0
玩家对战,22450.0
自动化,22317.0
动作角色扮演,22290.0
回合制战斗,19285.0
第一人称射击,19162.0
太空模拟,18039.0
蝙蝠侠,17559.0
狙击手,17356.0
拟真,16311.0
恶人主角,15616.0
第三人称射击,13555.0
机甲世界,13326.0
黑客,12896.0
开放世界生存制作,12703.0
潜行,12161.0
大逃杀,12125.0
战术,11184.0
射击,10651.0
僵尸,10391.0
狩猎,10320.0
机器人,9763.0
生活模拟,9305.0
竞技场射击,8780.0
吸血鬼,8306.0
建造,7000.0
越野,6922.0
收集马拉松,6508.0
二战,6316.0
政治性,6038.0
军事,5912.0
城市营造,5768.0
格斗,5590.0
在线合作,5056.0
殖民模拟,4956.0
轻游戏,4509.0
太空,4488.0
光明会,4244.0
欢乐,4202.0
好评原声音轨,4087.0
砍杀,4076.0
科幻,3972.0
恐怖,3873.0
赛博朋克,3772.0
农场模拟,3675.0
农业,3638.0
沙盒,3518.0
末日,3432.0
困难,3134.0
海盗,3093.0
可爱,2959.0
喜剧,2953.0
一战,2822.0
本地合作,2809.0
快速反应事件,2740.0
成人,2623.0
坦克,2599.0
剧情丰富,2510.0
迷你高尔夫,2383.0
飞行,2335.0
海战,2331.0
物品管理,2312.0
卡牌战斗,2286.0
懒人游戏,2226.0
恋爱模拟,2189.0
日系角色扮演,2169.0
美国,2146.0
策略,2139.0
暗杀,2112.0
反乌托邦,2111.0
超級英雄,2048.0
创世神,2016.0
重制,1998.0
资本主义,1935.0
策略角色扮演,1916.0
恐龙,1899.0
桌上游戏,1884.0
钓鱼,1863.0
海军,1825.0
塔防,1739.0
桌游,1703.0
类银河战士恶魔城,1687.0
管理,1630.0
平台解谜,1581.0
像素图形,1579.0
剑术,1534.0
魔法,1529.0
乐高,1501.0
动漫,1476.0
星球大战,1462.0
迷宫探索,1299.0
三消,1288.0
卡牌游戏,1282.0
拼字,1281.0
角色扮演,1272.0
黑色,1201.0
虚拟现实,1138.0
电影,1114.0
生存恐怖,1091.0
拳击,1072.0
奇幻,1036.0
回合制战术,967.0
火车,965.0
历史,939.0
唯美,938.0
竞速,895.0
洛夫克拉夫特式,884.0
推理,871.0
黑色幽默,870.0
弹幕射击,818.0
氛围,808.0
物理,805.0
平台游戏,785.0
益智问答,780.0
基地建设,774.0
音乐,768.0
汽车模拟,765.0
毁灭,755.0
医疗模拟,711.0
心理恐怖,703.0
步行模拟,692.0
解谜,690.0
西部,677.0
放松,676.0
跑酷,665.0
模拟,638.0
精确平台,638.0
文字游戏,634.0
垂直卷轴射击,613.0
360 视频,596.0
龙,591.0
网红,564.0
第一人称视角,520.0
摩托车越野,513.0
清版射击,512.0
动作,499.0
牌组构建,481.0
政治模拟,475.0
编程,457.0
标杆测试,449.0
节奏,447.0
二维,445.0
探索,444.0
角色定制,435.0
冒险,408.0
实用工具,408.0
街机,406.0
游戏开发,404.0
回合制,404.0
体育,393.0
90 年代,374.0
隐藏物体,374.0
快节奏,345.0
全动态影像,292.0
旅鼠,283.0
弹球,269.0
女性主角,264.0
滑板,263.0
经典,255.0
网格导向动作,243.0
非主流经典,240.0
裸露,233.0
色情内容,230.0
休闲,230.0
打字,215.0
采矿,210.0
高尔夫球,206.0
超现实,200.0
灵异,199.0
视觉小说,199.0
关卡编辑,196.0
战斗竞速,184.0
清版动作,181.0
少女游戏,178.0
小游戏,162.0
劫掠,159.0
棒球,158.0
猫,154.0
第三人称视角,151.0
80 年代,138.0
血腥,137.0
双摇杆射击,136.0
动画制作和建模,134.0
棋类,132.0
黑暗奇幻,129.0
照片编辑,121.0
互动小说,114.0
其他,113.0
视频制作,107.0
极简主义,105.0
疫病爆发模拟,104.0
怀旧,98.0
自选历险体验,95.0
网络出版,90.0
制作,87.0
讽刺,85.0
摩托车,82.0
马匹,78.0
阖家,75.0
战争,72.0
蓄意操控困难,68.0
纸牌,65.0
网球,63.0
迷幻,59.0
足球/美式足球,57.0
狼人,55.0
横向滚屏,52.0
爱情,49.0
哲理,48.0
设计与插画,46.0
推箱子,44.0
软件,42.0
纪录片,42.0
动作冒险,42.0
即时战略,41.0
暴力,41.0
漫画,40.0
摔角,38.0
短片,36.0
彩色,31.0
程序生成,30.0
音频制作,29.0
4人本地,27.0
忍者,26.0
冷战,25.0
教育,23.0
文字为基础,20.0
手绘,16.0
单车,15.0
试验性,11.0
雪,11.0
软件培训,10.0
信仰,10.0
政治,10.0
体验,8.0
自然,8.0
水底,8.0
时间管理,7.0
欲罢不能,7.0
风格化,7.0
声控,7.0
抽象,6.0
黑色喜剧,6.0
战争游戏,5.0
射箭,5.0
外星人,5.0
轨道射击,5.0
游戏制作,4.0
奔跑,1.0
黑暗,1.0
