游戏名,类型,开发商,发行商,价格,平台,性质,是否支持中文,历史在线峰值
泠：落日孤行 - Ling,"动作,角色扮演,独立,暴力,血腥,冒险,类魂系列",Chautauqua Software,Cheese Games,24,PC,单人,是,33
Dream Quest,"类Rogue,牌组构建,角色扮演,卡牌战斗,卡牌游戏",Peter Whalen,Peter Whalen,36,PC,单人,否,33
The Music Machine,"冒险,独立,恐怖,第一人称视角,步行模拟,心理恐怖,单人,探索,氛围,好评原声音轨,黑色幽默,黑暗,像素图形",David Szymanski,David Szymanski,21,PC,单人,否,33
The Body Changer,"冒险,独立,动作,解谜",TheShortAndTheTall,TheShortAndTheTall,The Body Changer DEMO,PC,单人,是,33
Sam & Max 201: Ice Station Santa,"冒险,非主流经典,大师级,美国,二维,好评原声音轨,怀旧,指向 &amp; 点击,90 年代,剧情丰富,欢乐",Telltale Games,Skunkape Games,68,PC,单人,否,33
Sherlock Holmes: The Secret of the Silver Earring,"冒险,指向 &amp; 点击,推理,解谜,悬疑,怀旧",Frogwares,Frogwares,36,PC,单人,否,33
A tractor,"大型多人在线,独立,策略,休闲,抢先体验,经济",Games for May,Games for May,免费开玩,PC,大型多人在线,否,33
Automata Empire,"策略,模拟,独立,教育,即时战略",Nonadecimal Creative,Nonadecimal Creative,35,PC,单人,否,33
Dungeons & Robots,"动作,角色扮演,独立,抢先体验,射击,机器人",Glow Games Studio,Digital Tribe,35,PC,单人,否,33
わがままアリスと百日戦争,"免费,策略,冒险,角色扮演,动漫,裸露",KoromoSoft,KoromoSoft,免费,PC,单人,是,33
TAKANARIA,"免费,独立,角色扮演,休闲,像素图形,步行模拟,二维",Crownbird,Crownbird,免费,PC,单人,是,33
City Climber,"动作,独立,冒险,模拟,休闲,体育,物理,欢乐,本地合作,沙盒,喜剧,本地多人,解谜,4人本地,困难,极简主义,单人,好评原声音轨",Ondrej Angelovic,Ondrej Angelovic,28,PC,本地合作,是,33
Spectromancer,"卡牌战斗,牌组构建,策略,卡牌游戏","Apus Software,Three Donkeys LLC",Three Donkeys LLC,30,PC,单人,否,33
Disney Infinity 2.0: Gold Edition,"动作,冒险,沙盒,开放世界","Avalanche Software,Heavy Iron Studios",Disney,90,PC,单人,否,33
Koi Musubi,"独立,冒险,恋爱模拟,视觉小说,动漫,可爱,剧情,裸露",Narrator,Narrator,38,PC,单人,是,33
Pantsu Hunter: Back to the 90s,"休闲,独立,冒险,动漫,裸露,视觉小说,爱情,喜剧,指向 &amp; 点击",7th Ascension,7th Ascension,35,PC,单人,否,33
RETSNOM,"独立,动作,解谜,像素图形",Somi,Zero Rock Entertainment,22,PC,单人,否,33
Air Forte ,"教育,休闲,本地合作,单人,独立,阖家,合作,冒险,本地多人,剧情丰富,重玩价值,程序生成,即时,纵轴",Blendo Games,Blendo Games,36,PC,本地合作,否,33
Another Perspective,"独立,冒险,平台游戏,解谜,二维,平台解谜,游戏制作",Shaun Spalding,Shaun Spalding,26,PC,单人,否,33
XenonValkyrie,"轻度 Rogue,Rogue 恶魔城,动作类 Rogue,类Rogue,动作,冒险,角色扮演,独立,动漫,像素图形,女性主角,平台游戏,二维,类银河战士恶魔城,困难","Diabolical Mind,Daniel Fernandez Chavez",Diabolical Mind,36,PC,单人,否,33
Cue Club 2,"模拟,动作,体育,独立,策略,休闲,台球",Bulldog Interactive,Bulldog Interactive,65,PC,单人,否,33
泠：落日孤行 - Ling,"动作,角色扮演,独立,暴力,血腥,冒险,类魂系列",Chautauqua Software,Cheese Games,24,PC,单人,是,33
For The Warp,"独立,策略,太空,抢先体验,轻度 Rogue,牌组构建,卡牌游戏,卡牌战斗,回合制,类Rogue",Massive Galaxy Studios,Massive Galaxy Studios,50,PC,单人,否,33
Secondhand Lands,"免费,大型多人在线,冒险,角色扮演,休闲","Callipygian Games, LLC","Callipygian Games, LLC",免费开玩,PC,大型多人在线,否,33
Spell Casting: Meowgically Enhanced Edition,"独立,休闲,解谜,猫,阖家",Gordon Little,Gordon Little,22,PC,单人,否,33
Broken Sword 3 - the Sleeping Dragon,"冒险,悬疑,指向 &amp; 点击,解谜,单人,第三人称视角,经典",Revolution Software Ltd,Revolution Software Ltd,25,PC,单人,否,32
Emerland Solitaire: Endless Journey,"免费,休闲,卡牌游戏",Rainbow Games,Rainbow Games,免费开玩,PC,单人,否,32
XXZ: XXL,"色情内容,裸露,独立,休闲,角色扮演,三消,僵尸,困难,回合制战术,短片",L. Stotch,L. Stotch,26,PC,单人,是,32
Love at Elevation,"冒险,色情内容,角色扮演,独立,文字为基础",Hosted Games,Hosted Games,26,PC,单人,否,32
Unfortunate Spacemen,"动作,独立,第一人称视角,恐怖,第一人称射击,团队导向,生存,科幻,多人,太空,合作,悬疑,抢先体验,在线合作,暴力,黑色喜剧,喜剧,射击,血腥,生存恐怖",Geoff 'Zag' Keene,New Blood Interactive,48,PC,多人,否,32
Transport Services,"策略,模拟,独立,火车,解谜",Hammer Games,Hammer Games,37,PC,单人,否,32
Air Missions: HIND,"模拟,动作,飞行,休闲,独立,军事,多人,射击,合作,拟真,战术,团队导向,单人",3Division,3Division,55,PC,多人,是,32
外星机器怪物,"策略,动作,独立,塔防",Kraftix Games,Kraftix Games,26,PC,单人,否,32
太空地牢,"动作,独立,休闲,迷宫探索,太空,科幻,像素图形,垂直卷轴射击,怀旧,清版射击,策略,街机,射击","Polyquest Games,ZXDigital Ltd",ZXDigital Ltd,18,PC,单人,否,32
Space Hole 2016,独立,Sam Atlas,Mr. Sam Atlas,6,PC,单人,否,32
001 Game Creator,"游戏开发,设计与插画,实用工具,网络出版,动画制作和建模,教育,视频制作,软件培训",SoftWeir Inc.,SoftWeir Inc.,163,PC,其他,否,32
鬼屋魔影,"冒险,动作,恐怖,生存恐怖,开放世界,氛围,大师级,第一人称视角,生存,第一人称射击,单人,好评原声音轨,第三人称视角","Eden Games,Hydravision Entertainment",THQ Nordic,36,PC,单人,否,32
平原景观,"动作,独立,多人,机器人,忍者",Beatnik Games,Beatnik Games,,PC,多人,否,32
Tahira: Echoes of the Astral Empire,"角色扮演,冒险,策略,独立,回合制,女性主角",Whale Hammer Games,Whale Hammer Games,48,PC,单人,否,32
Super Club Soccer,"免费,体育,抢先体验,足球,多人,回合制,足球/美式足球,在线合作,团队导向,合作",Trick27 Studios Limited,Trick27 Studios Limited,免费开玩,PC,多人,否,32
Unfortunate Spacemen,"动作,独立,第一人称视角,恐怖,第一人称射击,团队导向,生存,科幻,多人,太空,合作,悬疑,抢先体验,在线合作,暴力,黑色喜剧,喜剧,射击,血腥,生存恐怖",Geoff 'Zag' Keene,New Blood Interactive,48,PC,多人,否,32
Future Wars,"策略,回合制,回合战略,独立,单人,多人",Radon Labs,Radon Labs,21,PC,单人,否,32
The Designer's Curse,"免费,独立,恐怖,血腥,生存恐怖",CBGames,CBGames,免费开玩,PC,单人,否,32
Final DOOM,"第一人称射击,动作,经典,怀旧,射击,单人,第一人称视角,90 年代,可模组化,科幻,困难,好评原声音轨,血腥,多人,复古,僵尸,恶魔,恐怖,在线合作,氛围",id Software,id Software,18,PC,单人,否,32
I Want To Be Human,"独立,血腥,动作,暴力,平台游戏,射击,像素图形,黑色喜剧",Sinclair Strange,Rising Star Games,15,PC,单人,否,32
Bubsy: The Woolies Strike Back,"冒险,动作,心理恐怖,网红,平台游戏,二维,经典,怀旧,动漫,恐怖,色情内容,单人,伪3D,生存恐怖",Black Forest Games,Accolade,70,PC,单人,否,32
Galactic Fighters,"动作,独立,太空,弹幕射击,抢先体验",StarworkGC,StarworkGC,Galactic Fighters Demo,PC,单人,否,32
鬼屋魔影,"冒险,动作,恐怖,生存恐怖,开放世界,氛围,大师级,第一人称视角,生存,第一人称射击,单人,好评原声音轨,第三人称视角","Eden Games,Hydravision Entertainment",THQ Nordic,36,PC,单人,否,32
"Sam & Max 103: The Mole, the Mob and the Meatball","冒险,动作,指向 &amp; 点击,喜剧,美国,大师级,剧情丰富,非主流经典,二维,好评原声音轨,怀旧,90 年代",Telltale Games,Skunkape Games,68,PC,单人,否,32
GLAD VALAKAS SIMULATOR,"模拟,休闲,独立,冒险,暴力,网红,单人,黑色幽默,二维,欢乐,喜剧,风格化,小游戏,逻辑,放松,角色动作",Snkl Studio,Snkl Studio,11,PC,单人,否,32
IMSCARED,"独立,恐怖,像素图形,冒险,心理恐怖,第一人称视角,单人,氛围,生存恐怖,解谜",Ivan Zanotti's MyMadnessWorks,Ivan Zanotti's MyMadnessWorks,18,PC,单人,否,32
作弊专家,策略,Travian Games GmbH,Travian Games GmbH,,PC,单人,否,32
001 Game Creator,"游戏开发,设计与插画,实用工具,网络出版,动画制作和建模,教育,视频制作,软件培训",SoftWeir Inc.,SoftWeir Inc.,163,PC,其他,否,32
Baezult,"独立,冒险,解谜,平台解谜,免费",Atapki,Atapki,免费,PC,单人,否,32
InMind VR,"虚拟现实,免费,独立,教育,动作,休闲,单人,科学,科幻,探索,动态记叙,3D视觉,欢乐,喜剧,竞速,物理,模拟,太空",Luden.io,Nival,Free to Play,PC,单人,否,32
Flatspace IIk,"动作,冒险,角色扮演,独立,模拟,纵轴,太空",Cornutopia Software,Cornutopia Software,48,PC,单人,否,32
Rumble Fighter: Unleashed,"免费,动作,格斗,多人,动漫,清版动作,心理恐怖",NIMONIX,RedFox Games,Free to Play,PC,多人,否,32
Dandy: Or a Brief Glimpse into the Life of the Candy Alchemist,"动作,独立,清版射击,永久死亡,困难,轻度 Rogue","wefiends, Inc.","wefiends, Inc.",36,PC,单人,否,32
Hoyle Official Card Games Collection,"休闲,卡牌游戏",Webfoot Games,Viva Media,,PC,单人,否,32
Force of Elements,"免费,抢先体验,策略,独立,动作,三消","Wicked Fun, Inc.","Wicked Fun, Inc.",免费游玩,PC,单人,否,32
The Flood,"免费,独立,休闲,冒险,氛围,单人,好评原声音轨,多人",Ondrej Angelovic,Ondrej Angelovic,免费,PC,单人,是,32
在一起VR,"裸露,虚拟现实,色情内容,模拟,休闲,冒险,独立,成人,动漫,第一人称射击,恋爱模拟",AURORA Games,AURORA Games,62,PC,单人,是,32
Super Club Soccer,"免费,体育,抢先体验,足球,多人,回合制,足球/美式足球,在线合作,团队导向,合作",Trick27 Studios Limited,Trick27 Studios Limited,免费开玩,PC,多人,否,32
美味餐厅：艾米丽的瓶中信笺,"休闲,独立,冒险,时间管理",GameHouse,GameHouse,39,PC,单人,是,32
Forbidden Clicker Party,"休闲,独立,轻游戏,冒险,角色扮演,策略",OneShark,OneShark,15,PC,单人,否,32
Super Chibi Knight,"动作,冒险,独立,角色扮演,动作角色扮演,二维,单人,横向滚屏,阖家,经典,可爱",PestoForce,"Armor Games Studios,PestoForce",21,PC,单人,否,32
Transport Services,"策略,模拟,独立,火车,解谜",Hammer Games,Hammer Games,37,PC,单人,否,32
吸血鬼德古拉4 5,"冒险,指向 &amp; 点击,解谜",Koalabs,Microids,31,PC,单人,否,32
Air Missions: HIND,"模拟,动作,飞行,休闲,独立,军事,多人,射击,合作,拟真,战术,团队导向,单人",3Division,3Division,55,PC,多人,是,32
Shmups Skill Test シューティング技能検定,"动作,清版射击,弹幕射击",TRIANGLE SERVICE,Degica,21,PC,单人,是,32
Steam Bandits: Outpost,"角色扮演,冒险,独立,抢先体验,休闲,Kickstarter,蒸汽朋克,奇幻,免费,异步多人",Iocaine Studios,Iocaine Studios,70,PC,异步多人,否,32
Monsterplants vs Bowling : Arcade Edition,"动作,虚拟现实",Payoff Technologies,Payoff Technologies,22,PC,单人,否,32
闪闪萤火虫,"独立,动作,冒险,休闲,平台游戏",Stage Clear Studios,Headup Games,36,PC,单人,否,32
Townsmen VR,"模拟,策略,抢先体验,虚拟现实,创世神,城市营造,资源管理,休闲,独立,建造,体验,阖家,唯美,氛围,中世纪,单人,3D",HandyGames,HandyGames,37,PC,单人,否,32
Perceptions of the Dead,"免费,冒险,独立,视觉小说,休闲,恐怖,女性主角",Ithaqua Labs,Ithaqua Labs,免费,PC,单人,否,32
海伦娜的神秘城堡,"角色扮演,独立,休闲,RPG制作大师,女性主角,动漫,像素图形,日系角色扮演,单人,二维,好评原声音轨,奇幻,可爱,怀旧,氛围,剧情丰富,短片,无声主角,控制器,试验性",Satsu,PLAYISM,11,PC,单人,否,32
Meridian: Squad 22,"策略,动作,独立,即时战略",Elder Games,Headup,48,PC,单人,否,32
Super Chibi Knight,"动作,冒险,独立,角色扮演,动作角色扮演,二维,单人,横向滚屏,阖家,经典,可爱",PestoForce,"Armor Games Studios,PestoForce",21,PC,单人,否,32
Love at Elevation,"冒险,色情内容,角色扮演,独立,文字为基础",Hosted Games,Hosted Games,26,PC,单人,否,32
美味餐厅：艾米丽的瓶中信笺,"休闲,独立,冒险,时间管理",GameHouse,GameHouse,39,PC,单人,是,32
Covert Syndrome,"免费,动作,虚拟现实,暴力,独立,休闲",Offworld Industries,Offworld Industries,免费游玩,PC,单人,否,32
WaveLand,"动作,独立,竞速,冒险,平台游戏",rologfos,rologfos,22,PC,单人,否,32
恶魔世界,"策略,角色扮演,六角格棋盘,回合制,回合制战斗",HandyGames,HandyGames,36,PC,单人,是,32
Ortus Regni,"免费,策略,独立,卡牌游戏,中世纪,竞技",Jon Sudbury Games,Jon Sudbury Games,免费开玩,PC,单人,否,32
Claustrophobia: The Downward Struggle,"角色扮演,策略,独立,类Rogue,抢先体验",The Indie Forge,The Indie Forge,,PC,单人,否,32
LOGistICAL 2,"休闲,策略,独立,解谜,免费,资源管理,教育,交通运输",Sacada,Sacada,免费游玩,PC,单人,否,32
Beautiful Japanese Scenery - Animated Jigsaws,"解谜,休闲,模拟",BottleCube inc.,BottleCube inc.,36,PC,单人,否,32
吸血鬼德古拉4 5,"冒险,指向 &amp; 点击,解谜",Koalabs,Microids,31,PC,单人,否,32
Gigachess,"独立,策略,休闲,桌上游戏,桌游,像素图形,棋类,重玩价值,解谜,回合制,程序生成,竞分,街机,困难,塔防,仅鼠标,回合制战斗,回合制战术,二维,回合战略",Drixxel Soft,Drixxel Soft,18,PC,单人,否,32
鸽子出击,"动作,休闲,独立,欢乐,网红,本地合作,在线合作,多人",Nixtor Game Studio,Nixtor Game Studio,22,PC,本地合作,是,32
Air Missions: HIND,"模拟,动作,飞行,休闲,独立,军事,多人,射击,合作,拟真,战术,团队导向,单人",3Division,3Division,55,PC,多人,是,32
花瓣王座的抉择,"角色扮演,独立,文字为基础,互动小说,自选历险体验",Choice of Games,Choice of Games,18,PC,单人,否,32
Memorrha,"解谜,单人,独立,冒险,探索,第一人称视角,氛围,逻辑,悬疑,彩色,放松,困难,剧情丰富,风格化,非线性,科幻,好评原声音轨,编程,奇幻,阖家",StickyStoneStudio,StickyStoneStudio,89,PC,单人,是,32
我讨厌向后跑,"动作类 Rogue,动作,独立,轻度 Rogue,困难,本地合作,清版射击,毁灭,奔跑,程序生成,类Rogue,单人,体素,弹幕射击,合作,射击","Binx Interactive,Croteam Incubator,Croteam",Devolver Digital,48,PC,本地合作,是,32
The Weaponographist,"动作,角色扮演,独立,砍杀,好评原声音轨",Puuba,Puuba,The Weaponographist Demo,PC,单人,否,32
New York Mysteries: Secrets of the Mafia,"冒险,休闲,隐藏物体,指向 &amp; 点击,女性主角,单人",FIVE-BN GAMES,FIVE-BN GAMES,28,PC,单人,否,32
Wallpaper Transformer,"视频制作,实用工具,抢先体验,动画制作和建模",Nincent,Nincent,,PC,其他,是,32
Wanted Killer,"动作,虚拟现实,子弹时间,独立,射击,第一人称射击,单人,风格化,寻宝,街机,在线合作,合作,抢先体验,赛博朋克,氛围,卡通,时空操控,动漫,战术,军事",Playsnak,Playsnak,49,PC,单人,是,32
Octopus Bar,"免费,独立,动作,休闲,冒险,抢先体验,虚拟现实",Thomas Meduri,VRNOVO,免费开玩,PC,单人,否,32
Puzzle Bots,"冒险,独立,解谜,指向 &amp; 点击,机器人,单人",Ivy Games,Wadjet Eye Games,21,PC,单人,否,32
秘密组织6：血统,"休闲,冒险,隐藏物体,女性主角,指向 &amp; 点击,悬疑,奇幻,二维,解谜,单人,好评原声音轨,阖家,独立,恐怖,氛围,剧情丰富",Sunward Games,Artifex Mundi,36,PC,单人,是,32
