游戏名,类型,开发商,发行商,价格,平台,性质,是否支持中文,历史在线峰值
奇界行者,"轻度 Rogue,动作类 Rogue,独立,平台游戏,射击,单人,好评原声音轨,困难,二维,程序生成,动作,永久死亡,氛围,可爱,横向滚屏,类Rogue",Art in Heart,Raw Fury,36,PC,单人,是,228
WolfQuest,"模拟,角色扮演,生存,多人,开放世界,冒险,单人,独立,可爱,拟真,教育,探索,氛围,动作,阖家,免费",eduweb,eduweb,50,PC,多人,否,228
WolfQuest,"模拟,角色扮演,生存,多人,开放世界,冒险,单人,独立,可爱,拟真,教育,探索,氛围,动作,阖家,免费",eduweb,eduweb,50,PC,多人,否,228
反射,"竞技场射击,第一人称射击,动作,独立,快节奏,多人,竞技,抢先体验,第一人称视角,射击",Turbo Pixel Studios,Turbo Pixel Studios,36,PC,多人,否,228
Nitro+女主角梦幻格斗,"动漫,格斗,2D 格斗,动作,女性主角,街机,色情内容,可爱,裸露,成人,网红,单人",EXAMU,"XSEED Games,Marvelous USA, Inc.,Marvelous",88,PC,单人,否,228
谜题侦探,"解谜,冒险,指向 &amp; 点击,休闲,推理,单人,悬疑,喜剧,超现实,动作,短片,欢乐,氛围,恐怖,手绘,触控,二维,剧情丰富,阴谋,互动小说","LCG Entertainment, Inc.","Athlon Games, Inc.",21,PC,单人,否,228
半罪少女,"色情内容,动漫,角色扮演,裸露,日系角色扮演,策略,成人,网红,二维,光明会,可爱,迷宫探索,暴力,单人,剧情丰富,视觉小说,休闲","Nippon Ichi Software, Inc.","NIS America, Inc.",68,PC,单人,否,228
奇界行者,"轻度 Rogue,动作类 Rogue,独立,平台游戏,射击,单人,好评原声音轨,困难,二维,程序生成,动作,永久死亡,氛围,可爱,横向滚屏,类Rogue",Art in Heart,Raw Fury,36,PC,单人,是,228
维吉尼亚,"女性主角,冒险,步行模拟,推理,悬疑,过场动画,独立,好评原声音轨,氛围,休闲,剧情丰富,90 年代,第一人称视角,单人,惊悚,裸露,恐怖,视觉小说",Variable State,505 Games,36,PC,单人,是,228
Rocket Valley Tycoon,"免费,休闲,独立,策略,管理",Rocket Cola Studio,Rocket Cola Studio,免费开玩,PC,单人,否,228
