游戏名,类型,开发商,发行商,价格,平台,性质,是否支持中文,历史在线峰值
绝地求生,"生存,射击,多人,大逃杀,第一人称射击,玩家对战,第三人称射击,动作,在线合作,战术,合作,第一人称视角,策略,抢先体验,竞技,第三人称视角,团队导向,困难,模拟,潜行",PUBG Corporation,PUBG Corporation,98,PC,多人,是,"3,236,027"
刀塔2,"免费,多人在线战术竞技,多人,策略,电竞,团队导向,竞技,动作,在线合作,玩家对战,困难,合作,即时战略,塔防,奇幻,角色扮演,角色定制,重玩价值,动作角色扮演,模拟",Valve,Valve,免费游玩,PC,多人在线战术竞技,是,"1,291,328"
反恐精英：全球攻势,"第一人称射击,射击,多人,竞技,动作,团队导向,电竞,战术,第一人称视角,玩家对战,在线合作,合作,策略,军事,战争,困难,贸易,快节奏,拟真,可模组化","Valve,Hidden Path Entertainment",Valve,免费游玩,PC,多人,是,"1,100,539"
辐射4,"开放世界,末日,探索,单人,角色扮演,氛围,冒险,射击,第一人称视角,剧情丰富,动作,科幻,第一人称射击,动作角色扮演,沙盒,好评原声音轨,第三人称视角,生存,第三人称射击,休闲",Bethesda Game Studios,Bethesda Softworks,99,PC,单人,否,"471,955"
谍血街头,"动作,黑色幽默,经典,暴力,血腥,射击,独立,单人,等角,恶人主角,黑暗,恐怖,困难,垂直卷轴射击,90 年代,成人,氛围,心理恐怖,喜剧,纵轴",Running With Scissors,Running With Scissors,,PC,单人,否,"408,008"
GTA5,"开放世界,动作,多人,汽车模拟,第三人称视角,犯罪,第一人称视角,射击,冒险,单人,成人,第三人称射击,竞速,氛围,合作,沙盒,欢乐,好评原声音轨,喜剧,大师级",Rockstar North,Rockstar Games,39,PC,多人,是,"360,761"
杀手2,"潜行,暗杀,动作,单人,第三人称视角,暴力,多人,沙盒,开放世界,策略,血腥,氛围,解谜,合作,第三人称射击,欢乐,在线合作,射击,好评原声音轨,裸露",IO Interactive A/S,Warner Bros Interactive Entertainment,256,PC,单人,是,"356,867"
凯茜瑞恩的冒险,"指向 &amp; 点击,冒险,女性主角,像素图形,推理,悬疑,独立,单人,剧情丰富,怀旧,心理恐怖,解谜,黑色",Clifftop Games,Raw Fury,48,PC,单人,否,"336,132"
怪物猎人：世界,"合作,多人,动作,开放世界,角色扮演,第三人称视角,角色定制,冒险,奇幻,单人,困难,动作角色扮演,探索,好评原声音轨,重玩价值,氛围,砍杀,日系角色扮演,类魂系列,大型多人在线角色扮演","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2,392",PC,合作,是,"329,333"
命运2,"免费,刷宝射击游戏,第一人称射击,多人,动作,冒险,在线合作,大型多人在线角色扮演,射击,科幻,寻宝,太空,好评原声音轨,开放世界,第一人称视角,故事架构丰富,合作,大型多人在线,大师级,氛围",Bungie,Bungie ,免费开玩,PC,多人,是,"291,718"
乌拉尔山,"恐怖,氛围,步行模拟,探索,冒险,开放世界,心理恐怖,单人,独立,第一人称视角,悬疑,生存,生存恐怖,剧情丰富,困难,黑暗,好评原声音轨,历史,多人,动作",IMGN.PRO,IMGN.PRO,39,PC,单人,是,"275,043"
收获日2,"合作,动作,第一人称射击,劫掠,刷宝射击游戏,在线合作,潜行,多人,犯罪,射击,团队导向,第一人称视角,好评原声音轨,自制枪械,战术,PvE,策略,单人,模拟,欢乐",OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,37,PC,合作,是,"247,628"
荣耀战魂,"中世纪,动作,剑术,多人,玩家对战,格斗,第三人称视角,战争,合作,血腥,单人,在线合作,砍杀,拟真,策略,氛围,角色扮演,奇幻,多人在线战术竞技,剧情丰富","Ubisoft Montreal,Ubisoft Quebec,Ubisoft Toronto,Blue Byte",Ubisoft,68,PC,多人,是,"216,499"
骑士传奇,"策略,角色扮演,独立,回合战略,休闲,回合制,奇幻,冒险,六角格棋盘,单人,手绘,氛围,战术角色扮演,触控,剧情丰富,二维,经典,好评原声音轨,回合制战斗,战术",Tortuga Team,Tortuga Team,28,PC,单人,是,"216,331"
基因变种,"抢先体验,动作,独立,大逃杀,垂直卷轴射击,角色扮演,多人,射击,纵轴,合作战役,休闲,在线合作,战术,大型多人在线,二维,策略",Ben Johnson (bencelot),Ben Johnson (bencelot),50,PC,多人,否,"213,183"
无人深空,"开放世界生存制作,开放世界,太空,探索,科幻,生存,第一人称视角,程序生成,冒险,单人,沙盒,氛围,制作,太空模拟,独立,多人,动作,模拟,第一人称射击,好评原声音轨",Hello Games,Hello Games,158,PC,单人,是,"212,321"
刀塔霸业,"免费,策略,休闲,自走棋,多人,战术,回合制战术,回合制,棋类,成人,竞技,奇幻,单人,牌组构建,桌游,卡牌游戏,自动化,合作",Valve,Valve,免费开玩,PC,多人,是,"200,421"
彩虹六号：围攻,"第一人称射击,英雄射击,多人,战术,射击,团队导向,动作,第一人称视角,竞技,合作,策略,拟真,在线合作,毁灭,物理,心理恐怖,氛围,大型多人在线,单人,休闲",Ubisoft Montreal,Ubisoft,88,PC,多人,是,"198,567"
